"","id","count","winner","loser","Score","movie","comment","White","Black"
"1",1,1,"civilian","Steve Rogers",1,"Captain America","scena bullo cinema",1,59
"2",2,1,"Bucky","civilian",1,"Captain America","scena bullo cinema",2,1
"3",3,1,"Red Skull","civilian",1,"Captain America","scena scoperta cubo",3,1
"4",4,1,"Hydra soldier","US Army Soldier",1,"Captain America","scena creazione captain america",4,8
"5",5,1,"Hydra soldier","Abrahm Eskine",0.666666666666667,"Captain America","scena creazione captain america",4,60
"6",6,1,"US Army Soldier WW2","Hydra soldier",1,"Captain America","scena creazione captain america",5,4
"7",7,1,"Peggy Carter","Hydra soldier",1,"Captain America","scena creazione captain america",6,4
"8",8,1,"Captain America","Hydra soldier",1,"Captain America","scena creazione captain america",7,4
"9",9,1,"Red Skull","nazi soldier",1,"Captain America","scena visita ufficiali a base Teschio Rosso",3,61
"10",9,2,"Red Skull","nazi soldier",1,"Captain America","scena visita ufficiali a base Teschio Rosso",3,61
"11",9,3,"Red Skull","nazi soldier",1,"Captain America","scena visita ufficiali a base Teschio Rosso",3,61
"12",10,1,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"13",10,2,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"14",10,3,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"15",10,4,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"16",10,5,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"17",11,1,"cap team","Hydra soldier",1,"Captain America","scena liberazione prigionieri",9,4
"18",11,2,"cap team","Hydra soldier",1,"Captain America","scena liberazione prigionieri",9,4
"19",11,3,"cap team","Hydra soldier",1,"Captain America","scena liberazione prigionieri",9,4
"20",11,4,"cap team","Hydra soldier",1,"Captain America","scena liberazione prigionieri",9,4
"21",12,1,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"22",12,2,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"23",12,3,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"24",12,4,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"25",12,5,"Captain America","Hydra soldier",1,"Captain America","scena liberazione prigionieri",7,4
"26",13,1,"Captain America","Red Skull",1,"Captain America","scena liberazione prigionieri",7,3
"27",14,1,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - bosco",7,4
"28",14,2,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - bosco",7,4
"29",14,3,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - bosco",7,4
"30",16,1,"cap team","Hydra Tank",1,"Captain America","scena missioni contro hydra - bosco",9,62
"31",17,1,"Bucky","Hydra soldier",1,"Captain America","scena missioni contro hydra - carro",2,4
"32",18,1,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - carro",7,4
"33",18,2,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - carro",7,4
"34",18,3,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - carro",7,4
"35",19,1,"Captain America","Hydra Super Tank",0.75,"Captain America","scena missioni contro hydra - carro",7,63
"36",19,1,"cap team","Hydra Super Tank",0.75,"Captain America","scena missioni contro hydra - carro",9,63
"37",20,1,"Red Skull","Hydra soldier",1,"Captain America","scena missioni contro hydra - carro",3,4
"38",21,1,"Bucky","Hydra soldier",1,"Captain America","scena missioni contro hydra - treno",2,4
"39",21,2,"Bucky","Hydra soldier",1,"Captain America","scena missioni contro hydra - treno",2,4
"40",22,1,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - treno",7,4
"41",23,1,"Captain America","Hydra soldier",0.75,"Captain America","scena missioni contro hydra - treno",7,4
"42",23,1,"Bucky","Hydra soldier",0.75,"Captain America","scena missioni contro hydra - treno",2,4
"43",24,1,"Hydra soldier","Captain America",1,"Captain America","scena missioni contro hydra - treno",4,7
"44",25,1,"Hydra soldier","Bucky",1,"Captain America","scena missioni contro hydra - treno",4,2
"45",26,1,"Captain America","Hydra soldier",1,"Captain America","scena missioni contro hydra - treno",7,4
"46",27,1,"cap team","Dr. Zola",1,"Captain America","scena missioni contro hydra - treno",9,64
"47",28,1,"cap team","Hydra soldier",1,"Captain America","scena missioni contro hydra - treno",9,4
"48",29,1,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"49",29,2,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"50",29,3,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"51",29,4,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"52",29,5,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"53",29,6,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"54",29,7,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"55",29,8,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"56",29,9,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"57",29,10,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"58",29,11,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"59",29,12,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
"60",29,13,"Captain America","Hydra soldier",1,"Captain America","attacco base principale hydra - attacco cap moto",7,4
